Grid 座標,discount factor
5_0,0.324/0.307/0.505/0.162/0.174/0.383/0.62/0.578
5_1,0.176/0.376/0.724/0.612/0.728/0.369/0.023/0.037
5_2,0.627/0.438/0.814/0.158/0.47/0.225/0.98/0.51
5_3,0.243/0.611/0.819/0.124/0.085/0.439/0.713/0.297
5_4,0.639/0.317/0.137/0.225/0.123/0.767/0.68/0.628
5_5,0.363/0.398/0.666/0.103/0.188/0.577/0.624/0.113
5_6,0.171/0.236/0.924/0.895/0.346/0.779/0.931/0.693
5_7,0.414/0.79/0.975/0.429/0.715/0.664/0.679/0.768
5_8,0.335/0.323/0.737/0.9/0.607/0.324/0.852/0.461
5_9,0.534/0.604/0.626/0.679/0.926/0.538/0.369/0.366
6_0,0.95/0.076/0.97/0.454/0.366/0.453/0.482/0.378
6_1,0.078/0.118/0.03/0.999/0.746/0.583/0.521/0.64
6_2,0.356/0.242/0.427/0.391/0.63/0.436/0.767/0.895
6_3,0.451/0.026/0.157/0.732/1.0/0.229/0.956/0.578
6_4,0.997/0.713/0.84/0.379/0.18/0.404/0.843/0.056
6_5,0.48/0.633/0.482/0.017/0.341/0.888/0.985/0.382
6_6,0.245/0.779/0.07/0.523/0.192/0.742/0.442/0.227
6_7,0.563/0.345/0.504/0.582/0.238/0.481/0.067/0.257
6_8,0.991/0.535/0.833/0.019/0.612/0.628/0.458/0.181
6_9,0.022/0.073/0.317/0.494/0.828/0.37/0.652/0.542
7_0,0.416/0.941/0.034/0.24/0.733/0.744/0.736/0.406
7_1,0.137/0.391/0.494/0.594/0.168/0.774/0.581/0.966
7_2,0.912/0.047/0.992/0.461/0.116/0.099/0.261/0.954
7_3,0.987/0.461/0.942/0.671/0.502/0.295/0.719/0.948
7_4,0.558/0.872/0.071/0.907/0.668/0.443/0.08/0.485
7_5,0.317/0.673/0.223/0.234/0.452/0.668/0.885/0.693
7_6,0.469/0.821/0.744/0.576/0.446/0.57/0.324/0.291
7_7,0.988/0.747/0.13/0.259/0.491/0.974/0.808/0.587
7_8,0.811/0.972/0.001/0.798/0.793/0.258/0.693/0.375
7_9,0.155/0.322/0.383/0.886/0.894/0.334/0.4/0.35
